147,RJ Barrett,SG,NYK,72,30,0.44(5.5/12.6),0.72(3.3/4.5),2.1,16.4,5.3,3.3,0.8,0.3,2,-0.53
148,JaMychal Green,PF,LAC,68,24,0.49(3.7/7.6),0.75(1.4/1.9),1.3,10.2,7,1,0.8,0.6,1.5,-0.58
149,Jakob Poeltl,C,SAS,70,23,0.63(3.5/5.6),0.50(0.9/1.8),0,7.9,8.3,1.8,0.6,1.3,0.8,-0.62
150,Bobby Portis,PF,NYK,64,26,0.44(5.2/11.7),0.79(1.6/2.0),1.4,13.4,7.4,1.5,0.7,0.4,1.5,-0.65
151,Kyle Kuzma,PF,LAL,76,29,0.46(6.6/14.3),0.75(2.5/3.3),1.7,17.3,5.1,2.3,0.5,0.4,1.7,-0.65
152,Malik Monk,SG,CHA,74,26,0.41(4.6/11.2),0.86(1.9/2.2),2.4,13.4,2.9,2.5,0.8,0.5,1.8,-0.68
153,Derrick Rose,PG,DET,56,26,0.44(5.4/12.3),0.88(2.7/3.1),1.1,14.7,2.7,4.3,0.6,0.2,1.5,-0.73
154,Rodions Kurucs,PF,BKN,76,26,0.46(4.8/10.4),0.79(1.5/1.9),1.4,12.4,5,1,0.9,0.6,1.5,-0.76
155,Darius Garland,SG,CLE,70,30,0.45(5.2/11.4),0.78(2.8/3.5),2.1,15.1,3.6,2.9,0.8,0.1,2.3,-0.77
156,Cedi Osman,SF,CLE,76,32,0.44(4.9/11.1),0.78(2.0/2.6),1.8,13.6,4.9,2.7,0.8,0.1,1.5,-0.87
157,Jaylen Brown,SG,BOS,72,29,0.47(5.9/12.6),0.67(2.1/3.2),1.5,15.5,4.9,1.6,1,0.5,1.5,-0.88
158,James Johnson,PF,MIA,70,28,0.46(4.2/9.1),0.70(1.3/1.8),1.3,10.9,4.4,3.5,0.8,0.7,1.7,-0.89
159,Willie Cauley-Stein,C,GSW,74,28,0.57(4.7/8.3),0.55(1.8/3.3),0,11.3,7.3,2.6,1.2,0.6,1,-0.91
160,Marvin Williams,PF,CHA,75,25,0.43(3.4/8.0),0.82(0.8/1.0),1.8,9.5,5,1.1,0.8,0.7,0.5,-0.95
161,Seth Curry,SG,DAL,72,28,0.46(4.5/9.8),0.86(0.9/1.1),2.3,12.3,2.6,1.4,0.7,0.3,1.2,-0.96
162,Jusuf Nurkic,C,POR,18,24,0.48(3.9/8.0),0.68(3.2/4.7),0,10.9,8.2,2.7,0.9,1.1,2,-1
163,Coby White,PG,CHI,70,26,0.44(3.9/8.9),0.79(2.5/3.2),1.5,11.8,2.8,3.2,1.1,0.2,1.6,-1
164,Meyers Leonard,PF,MIA,68,22,0.55(3.5/6.4),0.88(1.1/1.3),1.3,9.5,6.1,1.9,0.3,0.2,1.1,-1.03
165,Wesley Matthews,SG,MIL,66,28,0.44(4.9/11.1),0.80(1.9/2.3),2.4,14.1,2.4,2.2,0.7,0.2,1.2,-1.04
166,Tyus Jones,PG,MEM,74,24,0.44(3.2/7.3),0.90(1.0/1.1),0.7,8,2.1,5.1,1.3,0.1,0.7,-1.08
167,PJ Tucker,PF,HOU,80,30,0.39(2.3/5.9),0.72(0.5/0.6),1.7,6.8,5.4,1.1,1.4,0.5,0.7,-1.14
168,Dario Saric,PF,PHO,72,26,0.44(4.2/9.4),0.85(1.8/2.1),1.6,11.7,6.1,1.7,0.6,0.1,1.2,-1.18
169,Monte Morris,PG,DEN,76,24,0.49(4.4/9.0),0.80(0.8/1.1),1.2,10.9,2.4,3.8,0.9,0,0.6,-1.19
170,Elfrid Payton,PG,NYK,70,26,0.44(4.0/9.0),0.73(1.2/1.6),0.7,9.8,4.2,6,0.9,0.4,2.4,-1.27
171,Kenneth Faried,FA,HOU,60,22,0.59(4.9/8.4),0.63(2.0/3.2),0.2,12.1,7.9,0.6,0.6,0.7,1,-1.36
172,Dennis Schroder,PG,OKC,76,26,0.42(5.4/13.0),0.83(2.2/2.7),1.5,14.6,3.4,3.8,0.7,0.2,2,-1.52
173,Boban Marjanovic,C,DAL,60,14,0.63(3.5/5.5),0.79(2.2/2.8),0.1,9.3,5.8,1.2,0.3,0.6,1.3,-1.56
174,Michael Kidd-Gilchrist,SF,CHA,72,24,0.48(3.4/7.1),0.79(2.1/2.6),0.4,9.4,5.3,1.4,0.7,0.8,0.9,-1.61
175,Jeff Green,PF,UTA,76,22,0.47(3.6/7.6),0.89(2.0/2.3),1.2,10.4,3.5,1.5,0.5,0.4,1.1,-1.65
176,Rui Hachimura,SF,WAS,72,28,0.47(5.0/10.5),0.73(2.4/3.3),0.5,12.8,5.3,1.6,0.9,0.7,1.4,-1.65
177,Mason Plumlee,C,DEN,76,20,0.60(3.2/5.4),0.59(1.4/2.4),0,7.8,6.4,3,0.8,0.9,1.4,-1.66
178,Landry Shamet,SG,LAC,78,28,0.44(4.3/9.7),0.75(1.2/1.5),2.8,12.6,2.2,1.9,0.6,0.1,0.7,-1.66
179,OG Anunoby,SF,TOR,70,28,0.46(4.3/9.5),0.63(0.8/1.3),1.5,11,4.4,1,1.2,0.4,1.1,-1.68
180,Troy Brown,SG,WAS,68,28,0.44(4.5/10.2),0.72(1.4/1.9),0.9,11.3,6,3.2,0.9,0.2,1.3,-1.71
181,Norman Powell,SG,TOR,68,23,0.48(4.1/8.6),0.77(1.3/1.7),1.4,11,3.1,1.9,0.9,0.3,1.3,-1.77
182,Rodney Hood,SG,POR,72,27,0.44(4.4/10.0),0.87(2.1/2.4),1.3,12.2,2.3,1.9,0.8,0.2,0.8,-1.79
183,Kris Dunn,PG,CHI,60,22,0.43(3.6/8.4),0.80(0.9/1.1),0.5,8.7,3.1,4.6,1.1,0.4,1.7,-1.8
